target_0	fcon_0	fcon_1	fcon_2	fcon_3	fcon_4	fcon_5	fcon_6	fcon_7	fcon_8	fcon_9	fcat_0	fcat_1	fcat_2
-14.548843	0.9834999	0.9343219	0.64486665	0.30474865	0.03956449	0.4333945	0.98071516	0.8914315	0.811825	0.16386318	level-0	level-0	level-0
-14.615631	0.17325461	0.2202416	0.6217491	0.4324512	0.60954887	0.20595872	0.51735187	0.29496902	0.8050813	0.74305445	level-1	level-0	level-0
-2.8456616	0.7340598	0.5269761	0.07468605	0.04102838	0.8130092	0.30252212	0.79175407	0.321517	0.43502265	0.12726855	level-0	level-1	level-0
-11.42079	0.15229642	0.09376615	0.51465744	0.592819	0.24039018	0.58350974	0.52174175	0.8560928	0.05311215	0.3196386	level-1	level-1	level-0
-2.7845247	0.13348669	0.15373701	0.26990736	0.66339463	0.9032107	0.18863106	0.60966927	0.9603927	0.04437834	0.45015192	level-0	level-2	level-0
-18.484087	0.93065846	0.04874301	0.22613913	0.5542737	0.20944995	0.38911593	0.55140144	0.14319676	0.4668733	0.3224647	level-1	level-2	level-0
2.362322	0.53389394	0.4444973	0.36697417	0.12525016	0.4859351	0.22572672	0.4529394	0.1970439	0.28689086	0.66347915	level-0	level-0	level-1
-1.542965	0.41439718	0.94602555	0.95812565	0.7141389	0.40871823	0.8391446	0.96351403	0.97258043	0.8400637	0.14484274	level-1	level-0	level-1
-20.75148	0.023666084	0.021519482	0.8546562	0.92810774	0.033347666	0.8667576	0.6650063	0.027706623	0.88254786	0.73040825	level-0	level-1	level-1
7.9081173	0.64709264	0.8358168	0.6291474	0.08614886	0.82505214	0.9861411	0.45829082	0.48568577	0.8545406	0.29667068	level-1	level-1	level-1
1.736819	0.8046772	0.29650497	0.2894023	0.82913464	0.78096956	0.18686664	0.40344882	0.6213519	0.440224	0.07083136	level-0	level-2	level-1
12.312155	0.98963845	0.37683916	0.96361834	0.009928167	0.029499352	0.24930787	0.6967739	0.7397161	0.69254005	0.5973264	level-1	level-2	level-1
-13.562331	0.6425536	0.43897176	0.30838758	0.9487792	0.99908966	0.18700725	0.15915334	0.7976899	0.40055937	0.90755296	level-0	level-0	level-2
-18.520782	0.282857	0.319412	0.72722435	0.8178956	0.09440309	0.35436004	0.6016684	0.74173874	0.12185347	0.10425049	level-1	level-0	level-2
-22.587246	0.99205995	0.23322171	0.18063253	0.6969916	0.006797135	0.94442236	0.4632231	0.7177939	0.46223092	0.7814138	level-0	level-1	level-2
-8.519403	0.1412698	0.8595752	0.54759467	0.034041345	0.005330026	0.924353	0.96457756	0.06900662	0.50357366	0.51186806	level-1	level-1	level-2
-4.0750422	0.6916728	0.42660683	0.7343453	0.4286462	0.4598387	0.5818969	0.1680823	0.09926468	0.04565549	0.8077869	level-0	level-2	level-2
-9.200178	0.59423625	0.9499813	0.46528018	0.15236747	0.83136785	0.9788716	0.8137945	0.025214255	0.47575164	0.35849684	level-1	level-2	level-2
-1.4045153	0.7095955	0.6580912	0.102229655	0.14999032	0.9084256	0.8528648	0.016630948	0.7978798	0.85507494	0.7852251	level-0	level-0	level-3
7.3738637	0.6146925	0.8177874	0.5157267	0.1765387	0.123012304	0.49281985	0.061451256	0.6675627	0.19473714	0.5239012	level-1	level-0	level-3
-17.439745	0.90085983	0.58349293	0.022659123	0.96244365	0.7298859	0.8508117	0.031597078	0.3884827	0.57808787	0.34852505	level-0	level-1	level-3
4.1745925	0.23869318	0.20079607	0.1686632	0.04688835	0.78917897	0.7432772	0.6137768	0.057825685	0.038945854	0.32747328	level-1	level-1	level-3
0.91798574	0.45103192	0.6417021	0.44425684	0.24810869	0.7469198	0.4881004	0.9031322	0.40249908	0.0083729625	0.58523273	level-0	level-2	level-3
-0.9213658	0.98944426	0.8755011	0.34198534	0.7832631	0.4417652	0.15127397	0.64891934	0.48227787	0.46661395	0.7100998	level-1	level-2	level-3
