ids	effects	r2s
fcon_0	-6.81751	-5.755525
fcon_1	-3.737456	-5.6895714
fcon_2	-7.0930185	-5.9659204
fcon_3	-17.295444	-3.418168
fcon_4	-2.5258512	-5.537704
fcon_5	-13.013504	-5.1263084
fcon_6	-4.116713	-5.4762793
fcon_7	-3.429695	-5.524995
fcon_8	-11.422831	-5.6105
fcon_9	-4.298673	-5.5643983
fcat_0➵level-0	-5.2491126	-5.52599
fcat_0➵level-1	-4.0910125	-5.2679896
fcat_1➵level-0	-6.815776	-5.3479548
fcat_1➵level-1	-4.3923287	-5.463641
fcat_1➵level-2	-3.6396122	-5.196934
fcat_2➵level-0	-10.633941	-4.013723
fcat_2➵level-1	1.4692965	-4.327981
fcat_2➵level-2	-9.392209	-4.74655
fcat_2➵level-3	-2.4513628	-5.21423
fcat_2➵level-4	0.23001528	-4.5087953
